aspect,love,passion,communication
sun_conjunction_moon,4,3,0
sun_conjunction_mercury,0,0,4
sun_conjunction_venus,5,0,0
sun_opposition_venus,5,0,0
sun_conjunction_mars,0,4,1
sun_conjunction_jupiter,1,1,1
sun_conjunction_saturn,-1,-1,-1
sun_conjunction_pluto,0,3,0
moon_conjunction_mercury,0,0,4
sun_opposition_mercury,0,0,4
moon_conjunction_venus,5,1,1
moon_conjunction_mars,0,4,-1
moon_conjunction_jupiter,1,1,1
moon_conjunction_saturn,-1,-1,-1
moon_conjunction_pluto,-1,0,0
mercury_conjunction_venus,2,0,4
mercury_conjunction_mars,0,2,2
mercury_conjunction_jupiter,0,0,1
mercury_conjunction_saturn,0,0,-1
mercury_conjunction_pluto,0,1,-1
venus_conjunction_mars,2,4,0
venus_conjunction_jupiter,2,1,1
venus_conjunction_saturn,-1,0,0
venus_conjunction_pluto,-1,2,-1
mars_conjunction_jupiter,0,2,0
mars_conjunction_saturn,-1,-1,0
mars_conjunction_pluto,0,1,0
saturn_conjunction_pluto,-2,-2,-2